p (mbar),T (degC),rh (%),Wx,Wy,Day sin,Day cos,Year sin,Year cos
993.66,13.93,87.5,-1.2569373835729536,0.2901868601035856,0.9537169507451789,0.3007057995139403,-0.6002521403104645,-0.7998108326677668
993.66,14.01,86.8,-1.2077431060904589,0.0738687328371772,0.9659258262893557,0.258819045101448,-0.6003476844121135,-0.7997391186011932
993.62,14.06,86.5,-0.5899676499256521,0.00617835262858523,0.9762960071194584,0.2164396139402452,-0.6004432199458054,-0.7996673931211108
993.55,14.15,86.3,0.18407991391354045,-0.3551261540545607,0.9848077530112531,0.17364817767234608,-0.6005387469102678,-0.799595656228475
993.54,14.54,84.7,-0.62929596624577,-0.16274700263538702,0.9914448613726612,0.13052619222878054,-0.6006342653040916,-0.7995239079243435
993.52,14.8,83.5,-0.6842914081284055,-0.414421607498504,0.9961946980906902,0.08715574275972131,-0.6007297751258686,-0.7994521482097746
993.45,15.08,82.2,-1.0596725393975266,-0.5191282204299793,0.9990482215818202,0.04361938736619744,-0.6008252763743261,-0.7993803770857242
993.42,15.67,79.8,-1.0156311404146707,-0.26644584181404585,1.0,4.167227509157977e-12,-0.6009207690480562,-0.7993085945532505
993.4,16.41,77.0,-1.5040791993848335,0.21942142552147995,0.9990482215821836,-0.04361938735787092,-0.6010162531456958,-0.7992368006133782
993.36,17.13,74.7,-0.8692368621860068,0.036431818744403835,0.9961946980926848,-0.08715574273692203,-0.6011117286658368,-0.799164995267166
993.32,17.81,72.2,-1.2921450046446912,0.5888644045718596,0.9914448613737491,-0.13052619222051737,-0.6012071956072075,-0.7990931785155703
993.29,17.93,72.0,-1.0041586047593116,0.397574516899452,0.9848077530127004,-0.17364817766413826,-0.6013026539683999,-0.79902135035965
993.2,17.87,72.9,-0.48606875882404565,0.43155203822395716,0.9762960071212623,-0.2164396139321083,-0.6013981037480064,-0.7989495108004648
993.09,17.86,73.5,-1.1388264495614147,0.051713806467349265,0.9659258262915128,-0.2588190450933975,-0.6014935449447555,-0.7988776598389714
993.04,17.92,74.1,-0.9576614882494313,-0.06696621479435984,0.953716950752061,-0.3007057994921132,-0.6015889775572398,-0.7988057974762294
992.97,18.15,73.5,-0.9617096295401087,0.46905712706431274,0.9396926207864225,-0.3420201433242563,-0.6016844015840518,-0.7987339237132985
992.91,19.1,69.4,-1.452785131715695,1.345293782437803,0.9238795325131267,-0.3826834323606477,-0.6017798170239205,-0.7986620385511363
992.91,19.78,66.8,-1.0553806428859243,1.5072397614917454,0.9063077870400786,-0.42261826173334655,-0.6018752238754388,-0.7985901419908027
992.82,20.23,65.46,-1.152603480911432,1.6099395068731155,0.8870108331834939,-0.46174861322490607,-0.6019706221371997,-0.7985182340333581
992.8,21.0,62.75,-2.5262977759253156,-0.1368193968514805,0.8660254037845242,-0.4999999999998519,-0.6020660118079324,-0.7984463146797601
992.72,21.76,60.46,-2.844376176020574,-0.17895298065854304,0.8433914458147533,-0.5372996083438922,-0.6021613928862303,-0.7983743839310696
992.63,21.96,60.28,-2.7382365756279583,0.3459197246374805,0.8191520442928812,-0.5735764363454915,-0.6022567653706866,-0.7983024417883473
992.48,22.3,59.38,-3.534883939990652,-2.057351581717661,0.7933533402973751,-0.608761429000719,-0.6023521292600311,-0.7982304882525515
